TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
12,TRAIN,EW17,19307,20963
0,TRAIN,NE17-PTC,341,2462
13,TRAIN,BP12,3648,1494
6,TRAIN,DT28,14162,5509
5,TRAIN,DT7,174,111
11,TRAIN,PW5,1825,1461
18,TRAIN,BP3,4240,12790
22,TRAIN,CC28,896,3176
13,TRAIN,SW6,2877,3158
17,TRAIN,DT21,12458,6308
6,TRAIN,EW31,2758,5597
15,TRAIN,EW7,8751,12430
0,TRAIN,NE16-STC,344,3002
23,TRAIN,CC23,2109,376
22,TRAIN,DT13,7015,3987
23,TRAIN,NE14,2225,15406
22,TRAIN,NS9,18932,39561
12,TRAIN,DT22,4895,6182
18,TRAIN,DT28,31137,20875
12,TRAIN,DT34,4057,2692
9,TRAIN,SW7,3580,958
12,TRAIN,NE17-PTC,26594,24747
19,TRAIN,NE8,28904,44870
21,TRAIN,CC24,19123,2676
20,TRAIN,BP5,1636,2138
12,TRAIN,EW15,30470,31760
7,TRAIN,SW4,5252,1685
22,TRAIN,DT33,3496,20744
11,TRAIN,EW24-NS1,33399,56962
21,TRAIN,NS13,33410,58413
5,TRAIN,NS13,24098,3502
5,TRAIN,PW6,630,3
13,TRAIN,CC21,10340,7641
14,TRAIN,PE7,2342,3797
10,TRAIN,CC20,3658,2637
21,TRAIN,EW25,2996,9029
16,TRAIN,CC2,5887,3323
14,TRAIN,CC12,12638,4680
16,TRAIN,NS20,47241,24437
0,TRAIN,CG2,103,113
16,TRAIN,NE5,11540,10068
11,TRAIN,NE16-STC,30489,23213
13,TRAIN,EW9,19001,12813
16,TRAIN,NS14,20707,28155
11,TRAIN,NS15,21256,19956
11,TRAIN,BP4,7306,3415
6,TRAIN,EW10,18895,3370
8,TRAIN,NS28,1337,2640
7,TRAIN,EW33,7325,11213
18,TRAIN,BP12,3837,7022
0,TRAIN,EW14-NS26,394,101
17,TRAIN,CC6,8884,9667
8,TRAIN,NE8,26150,28739
20,TRAIN,CC7,4226,7463
20,TRAIN,NS3,9260,26489
0,TRAIN,BP13,0,4
10,TRAIN,SE3,2627,865
18,TRAIN,NE16-STC,51890,119592
5,TRAIN,EW15,881,1047
18,TRAIN,NS7,29830,33780
0,TRAIN,NS15,327,907
15,TRAIN,NS15,36012,16452
22,TRAIN,DT7,2727,1748
15,TRAIN,PW4,290,347
15,TRAIN,EW23,40733,34510
20,TRAIN,NE8,27966,27808
19,TRAIN,EW33,4891,6307
6,TRAIN,CC16,11277,6798
11,TRAIN,BP12,1876,1071
13,TRAIN,NE17-PTC,28527,30623
7,TRAIN,BP5,6491,2979
8,TRAIN,SW6,8210,1997
16,TRAIN,EW4,16754,11957
14,TRAIN,CC2,3911,5497
12,TRAIN,NE14,24076,15330
0,TRAIN,SE5,44,210
23,TRAIN,EW6,1100,5597
12,TRAIN,CC4-DT15,11690,18765
8,TRAIN,SW1,2591,4066
9,TRAIN,NS10,57913,20547
7,TRAIN,DT33,62563,19034
0,TRAIN,DT24,17,340
0,TRAIN,NS18,198,1164
22,TRAIN,CC1-NE6-NS24,37444,7405
21,TRAIN,EW3,9162,19019
7,TRAIN,CC23,3363,38005
16,TRAIN,SW1,2294,1320
20,TRAIN,NE15,5169,27033
13,TRAIN,EW29,7276,7143
13,TRAIN,EW30,926,759
7,TRAIN,EW32,3222,24243
7,TRAIN,NE14,90676,31966
13,TRAIN,SE3,2898,2535
20,TRAIN,EW30,5266,1320
15,TRAIN,EW26,18690,19024
9,TRAIN,EW23,39084,40309
21,TRAIN,DT34,2225,4061
20,TRAIN,DT5,9658,15261
15,TRAIN,DT22,5096,5275
21,TRAIN,CC27,4562,568
15,TRAIN,SE4,2293,3272
19,TRAIN,PW6,529,2123
8,TRAIN,NE10,29133,29466
15,TRAIN,NS5,18495,24617
11,TRAIN,DT13,6040,10610
20,TRAIN,DT27,6344,6574
20,TRAIN,SW3,880,2937
19,TRAIN,EW26,23685,67598
6,TRAIN,BP3,12269,1205
8,TRAIN,CG2,11772,29393
7,TRAIN,NS15,44375,94496
12,TRAIN,EW30,1220,805
12,TRAIN,NE11,3571,2634
8,TRAIN,PE5,12342,2664
9,TRAIN,CC11,5773,46827
0,TRAIN,SE1,47,520
20,TRAIN,NE13,13130,24472
23,TRAIN,CC17,232,1132
10,TRAIN,DT18,4133,21197
19,TRAIN,EW23,58393,73179
14,TRAIN,EW15,26505,26322
10,TRAIN,NS4,2417,2560
10,TRAIN,BP1,23574,16607
22,TRAIN,NS5,8062,27280
22,TRAIN,SE3,307,3154
12,TRAIN,NS14,24032,13357
14,TRAIN,SE4,2621,3094
23,TRAIN,EW11,3142,5740
6,TRAIN,BP13,5521,536
9,TRAIN,SW2,4004,2100
21,TRAIN,CC4-DT15,24279,2754
8,TRAIN,DT23,5648,18861
14,TRAIN,NS15,28400,17181
22,TRAIN,NS14,12110,36601
21,TRAIN,NS10,15622,53344
12,TRAIN,DT3,5537,2665
13,TRAIN,DT27,7983,4668
0,TRAIN,NE15,55,1119
6,TRAIN,EW5,39092,17364
16,TRAIN,EW30,4007,589
9,TRAIN,BP8,1674,1870
9,TRAIN,EW6,16764,9351
6,TRAIN,PW4,701,94
8,TRAIN,NE15,64102,6929
17,TRAIN,NS16,56214,79296
21,TRAIN,NS15,16687,17097
12,TRAIN,NE16-STC,31534,30708
21,TRAIN,EW31,2870,1207
18,TRAIN,DT10,9036,9595
22,TRAIN,EW6,2932,11814
8,TRAIN,EW18,37567,55573
9,TRAIN,CC17,5693,4626
16,TRAIN,SW2,2964,3826
23,TRAIN,SE1,332,2069
23,TRAIN,NE16-STC,3438,17268
8,TRAIN,SE5,4838,1865
15,TRAIN,NE8,18998,22521
18,TRAIN,NS11,53149,116215
0,TRAIN,EW17,56,567
11,TRAIN,CC4-DT15,7653,14804
17,TRAIN,NS18,19523,17780
16,TRAIN,NS2,21784,27517
22,TRAIN,CC11,6258,8533
11,TRAIN,DT27,4408,3755
