LATITUDE,LONGITUDE,NUMBER,X,Y,NAME
1.28963301,103.8338124,6141,28054.9602,30226.5852,Holiday Inn Atrium Havelock Rd
1.289840457,103.8341153,6149,28088.6645,30249.5237,Opp Holiday Inn Atrium Havelock Rd
1.288709768,103.8373728,6151,28451.197,30124.4983,Hotel Miramar Havelock Rd
1.289093854,103.8368794,6159,28396.2895,30166.9684,Opp Hotel Miramar Havelock Rd
1.289017057,103.8399429,6161,28737.2263,30158.4773,Blk 2 Havelock Rd
1.289370789,103.8399894,6169,28742.4111,30197.5912,River Pl Condo Havelock Rd
1.2860773,103.8424479,6171,29016.0155,29833.415,Opp State Ct Upp Cross St
1.287791365,103.8432943,6189,29110.2114,30022.9478,Ctrl Sq Havelock Rd
1.300996991,103.8498102,7011,29835.3674,31483.1616,Peace Ctr Selegie Rd
1.303245216,103.8499578,7021,29851.7901,31731.7589,Selegie Ctr Selegie Rd
1.305720833,103.8512058,7031,29990.6864,32005.5008,Tekka Ctr S`goon Rd
1.308793664,103.8531752,7111,30209.8561,32345.2804,Broadway Hotel S`goon Rd
1.313137478,103.8563561,7211,30563.8611,32825.6,Aft Farrer Pk Stn Exit G S`goon Rd
1.315032786,103.8578827,7221,30733.7506,33035.1751,Sri Vadapathira K Tp S`goon Rd
1.309648207,103.8573539,7231,30674.907,32439.7754,Bef Tai Hoe Hotel Kitchener Rd
1.315571421,103.8590062,7241,30858.7806,33094.7358,Bef S`goon Rd Lavender St
1.315385044,103.8594677,7249,30910.1446,33074.1278,Aft Kempas Rd Lavender St
1.310388333,103.8587067,7319,30825.4549,32521.6162,Aft Allenby Rd Jln Besar
1.312844726,103.8598909,7329,30957.2441,32793.2329,Hoa Nam Bldg Jln Besar
1.308249945,103.8589096,7331,30848.0427,32285.1645,Aft King George`s Ave Kitchener Rd
1.313518333,103.8605453,7351,31030.0713,32867.7177,Arc 380 Lavender St
1.313589732,103.860793,7359,31057.6448,32875.6129,Opp Arc 380 Lavender St
1.311676361,103.8618948,7361,31180.2666,32664.0435,Bef Kallang Bahru Lavender St
1.311408056,103.8623789,7369,31234.1374,32634.3764,Aft Kallang Bahru Lavender St
1.3095075,103.8635014,7371,31359.0635,32424.2241,Aft Kallang Rd Lavender St
1.310173368,103.8633823,7379,31345.8042,32497.8522,Aperia/Bef Kallang Rd Lavender St
1.306530241,103.856163,7419,30542.3754,32095.0055,Opp Veerasamy Rd Jln Besar
1.297342,103.849041,7509,29749.7662,31079.011,Smu Bencoolen St
1.301381848,103.8525256,7517,30137.5732,31525.7193,Ibis S`pore On Bencoolen Bencoolen St
1.30097494,103.8521799,7518,30099.0909,31480.7252,Opp NAFA Campus 3 Bencoolen St
1.304319062,103.8550156,7529,30414.6845,31850.5036,Jln Besar Stn Exit A Jln Besar
1.303656444,103.8525732,7531,30142.8672,31777.2324,Rochor Stn Rochor Canal Rd
1.304613007,103.852001,7539,30079.179,31883.0038,Opp Rochor Stn Sungei Rd
1.301719758,103.8546132,7551,30369.9017,31563.0855,Fu Lu Shou Cplx Rochor Rd
